Gene name	Adrenal gland	Appendix	Brain	Colon	Duodenum	Endometrium	Esophagus	Fallopian tube	Fat	Gallbladder	Heart	Kidney	Liver	Lung	Lymph node	Ovary	Pancreas	Placenta	Prostate	Rectum	Salivary gland	Small intestine	Smooth muscle	Spleen	Stomach	Testis	Thyroid	Tonsil	Urinary bladder
A1BG	1441150969	2238942079	168409609.4	1361484434	1026570134	1038354726	2660227028	780728759.2	10044541050.00	3960212046	544553563.10	1011221933	446623915.60	355653702.4	613962609.3	1688536778	85892304.61	2210559460	1033976807	1392320088	626432685	509397257.5	1331270140	307380450.1	1807400571	1926885804	820643357.1	130974936.5	1416002927
A1CF	5594018.226	0	141731.0267	12737133.39	49409816.62	209095.2421	1904837.78	5849328.389	2863722.38	9853994.286	5878366.14	49201246.95	569993731.50	4625777.623	1386129.521	0	37900789.57	7325457.532	6246960.058	10871184.57	22846898.91	45069253.49	2477651.883	4289654.649	13874305.29	485562.5659	14815419.68	1763109.742	611688.7896
A2M	2783243118	2234963808	593340803.4	1353803295	1182777046	533989914.7	1960574370	597003931.5	11579699108.00	2487497710	253208615.50	914431112.4	562773652.90	713781719.3	840529100.9	1391788015	188080382.4	2663606552	657293487.7	2051731912	374412626.4	534791084	336932736.7	280245696.4	2954749216	300416405	873000665.5	170573752.2	3906926223
A2ML1	837012.7142	68290426.03	223756.2638	105770.759	349778.6189	1211871.736	23781210.54	657015.9598	112129.35	365928.1756	825709.41	180008.9717	358700.91	764371.7406	462856.0209	61315219.37	223850.8392	938867.0743	13499.27633	1456518.153	191403.4272	301463.8996	60075.15736	594404.0419	192737.3124	8204.680634	86392.05693	105794074.4	44459.75063
A4GALT	293878.8818	1471620.839	202729.3504	0	0	0	505061.0928	175787.6709	0.00	0	0.00	681913.6051	371030.58	4695140.476	0	0	0	33882.0158	0	596197.987	642609.2856	0	0	0	462792.0459	1623790.92	0	0	1236098.577
A4GNT	0	0	0	0	128654.712	0	0	0	0.00	0	0.00	154891.1404	0.00	25355.74628	0	0	0	0	181783.5095	0	0	139396.1457	0	0	9425308.839	0	0	0	0
AAAS	6724939.967	4255197.987	5943123.16	7429471.761	15622583.12	6930712.347	2030802.474	5764741.702	2485333.40	65022014.97	1764137.41	4104860.588	2773472.85	15815420.71	8073649.3	6391002.341	3264941.493	17329173.67	11355323.92	6274280.369	6081199.574	2231290.236	5131932.677	2224887.593	20386212.12	25082039.83	7205874.415	7407981.956	5997715.144
AACS	1979188.407	5105771.835	7224675.091	2651000.508	17447309.4	2899748.992	1692003.629	2232834.135	15942925.13	3447398.054	3702775.39	6018593.963	8030208.42	8256595.154	2005311.647	2976240.229	3920784.638	6790487.302	8394475.041	4392240.571	32039759.39	2084325.279	989024.9643	0	12054842.81	3208802.766	4607493.104	6331091.902	3631720.311
AADAC	123291068.5	0	72166.49552	1339697.671	144801978.9	332738.1258	3125230.233	431124.9868	1542554.66	22407239.55	363843.44	2161166.613	555694273.30	465131.4195	3240355.333	0	13920077.86	3420969.926	549703.9846	1124323.679	1487023.542	219617420.2	645965.4729	4638513.501	12786855.23	84188.11761	1457186.827	0	448449.8348
AADAT	3203457.664	0	1281087.294	461706.7425	192124.412	3647046.962	12053435.74	219658.2698	1596336.48	11220901.77	443581.18	3379607.425	370801020.10	531643.8391	0	353623.1375	15154.60613	2533441.821	789642.8268	806159.6928	0	198867.0363	0	0	756765.1183	344052.0608	285642.0908	64018.70947	573498.08
AAED1	8669763.626	0	1057343.703	5576311.029	1837244.279	6173676.217	883345.3301	3470343.723	1544470.87	0	1085815.18	0	0.00	9333272.278	1058223.45	425710.0372	0	398121.2104	1611526.879	1389157.853	0	0	2953250.918	4632952.151	1388913.837	1808561.799	0	1223016.949	910812.3955
AAGAB	55124270.71	2834615.46	4691561.403	2123798.999	6916428.383	5960918.579	3294350.973	3157182.185	3914448.01	4944344.347	3244102.10	2689093.061	85241358.46	4520111.425	2484407.32	4985753.78	1028902.158	2401119.036	7407644.168	6012587.349	12589195.19	3713651.231	921281.6692	1835361.368	4779032.445	15833929.86	2541302.852	5487660.347	3485941.55
AAK1	74778494.83	21067858.41	151775622.9	34436386.45	55272463.21	87855143.76	75490433.93	49247259.43	18256437.75	84486751.4	186652854.60	74944118.33	17341740.12	73316190.75	80384720.35	54755230.42	34508151.56	97912613.97	68744704.91	53724899.92	31820779.52	50645447.58	106811051.1	36619172.66	42631008.96	37038062.34	193615877.9	34938633.49	50071124.35
AAMDC	69065104.32	97360917.13	55502941.24	110345142.3	16695914.42	191079645.2	346912499.5	350176163.5	113667435.30	35437206.85	667172226.70	110284713.2	45955244.75	54428099.17	41604639.17	53633788.55	37219484.28	25685953.85	37695514.33	207078824.5	68522448.42	115830674.7	158002414	90880569.64	110398894.2	82458879.99	51983862.97	32290972.94	79837429.03
AAMP	9442367.559	37386533.96	30039171.76	13619882.28	29074539.7	10017497.53	12723071.06	15909929	8248675.29	9167931.944	0.00	11456443.01	22507391.62	28030874.83	14337589.15	8772059.395	17599743.7	7046046.329	8916747.265	11776534.92	21578103.83	14850890.17	7802887.552	35233469.61	23990650.17	15466742.8	7598928.923	19574712.45	19457861.69
AAR2	12056801.39	9821479.004	3509146.004	4537818.91	5477332.001	3508807.422	3760388.49	7248888.261	1853620.54	2897439.524	2433442.15	1217536.828	9007695.98	5153763.52	7755186.094	3738058.477	38344448.17	6409988.306	2942216.654	10384654.73	1808408.692	3739132.122	4587116.824	4498552.859	3161856.073	15045839.01	5602681.639	18290952.85	4013073.115
AARD	0	0	0	200660.911	0	0	0	0	0.00	0	0.00	0	0.00	0	325581.6727	12100706.45	0	0	7663436.43	0	0	0	0	0	0	5759465.052	0	0	0
AARS	146220996.6	78308877.99	588525479.7	164142338.7	168185718.5	175001095.4	150600266.6	119500000.8	78904704.63	116395824	86756761.05	92176629.4	439854592.10	331816705.8	131183181.6	92456111.31	490532093.6	141625133.7	142324524.8	149162927.3	265534551	125941770.9	242937460.6	106335329.6	88212317.21	130575836.6	411164741.1	173532241.3	135172386.1
AARS2	14972780.86	6423938.129	18805950.91	22807661.34	20751807.67	12457435.99	7505568.853	24128193.41	8589378.66	17494589.72	10949545.28	23927155.66	17709556.84	16398620.82	21186260.23	19499141.46	9495837.162	7270938.273	14711617.66	17889220.37	14978651.92	45753580.84	9425702.033	6321980.497	13092045.82	13640373.54	24371377.87	16867882.12	23456246.07
AARSD1	806737.5725	0	2313847.502	2802766.003	1879937.892	3441275.396	2356065.289	1511875.728	0.00	1283562.644	1653124.83	2619098.899	907952.65	1682446.042	702860.4353	1995728.654	1063700.423	920693.9879	2303947.271	1831013.499	2060557.562	1380321.344	2855533.057	0	1810062.015	4231996.347	2941476.555	0	0
AASDH	2202760.231	1606057.306	0	813643.5828	16630.64428	528348.1326	0	229299.8801	0.00	0	0.00	25301210.8	23550785.54	194381.6316	0	2093195.981	0	453395.7884	0	247166.9284	50397.57113	16963656.53	0	525535.9908	530616.2969	0	36365348.12	64435.1449	0
AASDHPPT	53127698.97	52668433.15	222100468.3	67075147.32	31736426.57	39910580.67	55168076.93	69955097.94	15688707.02	20392094.46	61806347.65	68864182.62	44024706.82	67921072.11	61370318.99	34637390.38	8714998.029	34553852.09	30602088.51	27335019.11	53367753.87	54354977.75	98202572.86	23438773.11	71981221.18	63966339.27	72082474.8	62834564.82	20880728.91
AASS	20295297.48	12704270.36	56554709.31	14657150.49	13595424.78	50595036.34	25676254.61	29551917.21	27589691.83	6053195.868	265071486.00	209672549.3	500888323.00	88177095.78	13580084.62	15016617.48	41109791.5	19679748.81	48828534.11	10460042.42	22572100.66	9819720.155	21622015.65	7528793.452	21978913.91	18651483.41	190094998.8	12212942.84	43287423.34
AATF	3588805.054	1036291.205	2150295.456	5781775.808	6906653.626	4108127.692	3011607.213	9527386.487	2677466.09	2651187.49	437524.84	986336.5543	7793982.26	17446310.48	11714340.59	4606263.69	5908066.526	3904601.187	3073995.983	1923084.21	1152113.165	4948632.823	2009420.464	2771869.539	3288308.067	11577061.92	2329100.879	14402973.81	1341109.172
AATK	286403.0419	0	1110734.66	0	105201.6032	467505.7993	0	0	0.00	0	0.00	0	94690.40	15642.18612	0	0	0	0	0	315462.5941	0	102823.2312	224460.2539	0	0	262704.3079	0	0	0
ABAT	145317897.1	10686995.63	2217456550	20919772.01	182947145.6	9955575.531	105596951.2	8200583.886	4490794.98	13605164.05	274619055.70	3360543443	3847820543.00	7764498.494	17749472.56	17116787	3641163984	65667311.76	185165596.2	97082595.96	39905859.52	238490750.5	14947924.5	15805820.2	44546682.49	151768195.6	333015962.7	3888428.435	93107841.47
ABCA1	2829062.781	603775.4703	1402991.015	145713.2343	329661.5397	308869.0476	199489.2185	221655.2788	1197610.05	1898801.44	123624.88	98290.14165	1768363.86	2008762.033	24516.16713	1688406.551	477137.4618	9406275.921	784013.972	796108.0004	16934442.65	761814.7951	116520.7942	519209.9551	203658.1664	246140.419	0	9184798.116	957345.1977
ABCA12	0	216447.0778	0	7451.961204	341990.3453	202977.137	23357.61246	0	0.00	28849.18234	2970226.38	0	0.00	428137.8978	0	1323998.759	0	63344.56416	100603.3106	0	0	441684.2564	370920.715	71732.14635	0	124858.3148	0	101315.1465	12982.90125
ABCA2	364326.6145	0	7963447.117	89234.13356	238573.4234	312647.8773	36886.47536	520468.8797	135502.09	161609.4192	417205.03	875998.8935	136826.04	50654.898	160518.3228	2830606.853	129239.6786	185518.8163	226814.3479	302437.276	46374.35289	181053.6297	0	116545.0414	44108.01274	684925.2677	148978.5247	0	0
ABCA3	1368360.041	44006.47473	3549104.743	39514.10499	1149511.343	551296.3196	595943.5842	124874.1173	1943938.24	4979560.474	901383.19	299812.6327	416816.99	30541741.1	215255.8076	200902.7025	1267474.747	701594.7155	2154212.608	261162.514	2154482.748	3384663.325	146999.4604	198690.8156	241297.1028	780585.2213	889100.0383	205476.4344	88237.72227
ABCA5	234886.0649	0	2484875.972	12134.35511	0	126066.8388	0	659992.3936	0.00	0	1085693.33	0	533900.74	94982.24735	0	0	0	88667.62419	89573.60521	0	91169.68922	101319.9167	0	0	0	33032.11782	0	26923.74932	0
ABCA6	3157738.482	12029904.83	3262550.745	905376.0334	8092552.288	9342071.419	8536456.9	4165608.129	11915931.31	8714687.336	7817796.20	3314520.602	92690998.51	5165979.664	889465.9688	5928154.171	11269699.97	2569504.039	71921089.05	5867675.45	750532.0077	4568567.049	1119800.158	27949259.7	8307636.382	10364388.05	912930.6071	5672359.949	15543452.53
ABCA7	129651.5612	0	0	0	27607.69562	0	0	0	0.00	0	2137875.72	0	0.00	71247.03818	13951.57314	0	157494.9445	0	0	0	369893.4832	0	0	23311.3255	32858.97691	0	0	0	0
ABCA8	61075802.89	1295752.13	7517818.48	17491279.32	7102148.753	6042422.749	3234473.95	22011618.27	36926778.36	11742622.18	29726635.40	4216050.577	15632395.77	2667950.7	11937441.24	19293989.76	14018840.12	4082811.015	9618929.089	23994925.48	27395024.77	6829343.146	4712754.074	10694823.67	26512273.49	80096814.98	858375.091	4643479.808	1477575.829
ABCA9	489878.5217	54880.74021	17526.51097	0	30497.23972	792463.9817	35070.25876	643761.9256	77665.55	0	268160.58	31284.29112	4575.16	0	133590.5933	272892.297	0	0	100856.2528	151515.3026	82872.06995	0	787889.0333	0	90481.7782	677353.4144	58496.05301	10717.96959	0
ABCB1	123210683.1	602562.5826	5315863.893	4419252.117	6878590.616	3411743.366	2645736.311	1514674.085	0.00	3582523.641	4902284.04	44075659.69	14602331.23	38901.17272	1095060.999	867475.4243	2587108.313	2637198.786	3261921.357	5453531.762	1748833.288	23935205.11	1658935.191	514621.8414	801709.3459	954465.583	584923.0606	572239.212	776950.9097
ABCB10	10642018.79	8111792.578	3050254.106	3352456.956	11532005.25	1547520.725	769212.7183	4784044.928	1760747.89	256210.3729	26377979.19	2870148.071	6720597.24	11475583.68	1477341.367	641524.7541	723325.5469	2037032.609	1243442.526	2895585.451	1768584.413	11161094.62	3729371.153	4526591.332	5268894.859	1297001.801	9791391.215	2524452.585	478049.0205
